file_name,gpx_time,rec_num,name,latitude,longitude,elevation,used_max_elevation,comment,description,symbol,gps_quality,x_3794,y_3794
old ICCC gps.gpx,2004-06-24,25,BIVVY,46.25153323,13.76260582,1869.4,0,,,Flag,1,404592,124277
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,10,BLOHOL,46.241785996,13.769829841,1439.9,0,BLOHOL,"BLOHOL: SLO(405132.7,405132.7)",Waypoint,2,405133,123185
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,11,BONE,46.251787283,13.761318941,1867.0,0,BONE,"BONE: SLO(404493.7,404493.7)",Skull and Crossbones,2,404494,124306
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,13,BONECA,46.254224908,13.758766903,,0,BONECA,"BONECA: SLO(404301.2,404301.2)",Waypoint,2,404301,124580
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,14,BWAY,46.250145854,13.759666868,,0,BWAY,"BWAY: SLO(404363.5,404363.5)",Waypoint,2,404363,124126
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,15,CHRIST,46.247359710,13.767002542,1746.1,0,CHRIST,"CHRIST: SLO(404924.3,404924.3)",Park,2,404924,123808
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,12,DKOMNA,46.284590615,13.773205150,1544.0,0,DKOMNA,"DKOMNA: SLO(405466.6,405466.6)",Residence,2,405467,127938
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,151,E01,46.252509803,13.770259917,1857.1,0,E01,"E01: SLO(405184.3,405184.3)",Flag,2,405184,124376
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,150,E04,46.251164842,13.762261989,1855.9,0,E04,"E04: SLO(404565.3,404565.3)",Waypoint,2,404565,124236
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,149,E1,46.252149884,13.765619947,1805.2,0,E1,"E1: SLO(404826.0,404826.0)",Waypoint,2,404826,124342
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,148,E2,46.252465881,13.765174868,1818.7,0,E2,"E2: SLO(404792.2,404792.2)",Waypoint,2,404792,124377
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,147,E5,46.253128974,13.766282871,1771.1,0,E5,"E5: SLO(404878.8,404878.8)",Waypoint,2,404879,124450
